CRIM,NOX,AGE
0.00632,0.538,65.2
0.02731,0.469,78.9
0.02729,0.469,61.1
0.03237,0.458,45.8
0.06905,0.458,54.2
0.02985,0.458,58.7
0.08829,0.524,66.6
0.14455,0.524,96.1
0.21124,0.524,100.0
0.17004,0.524,85.9
0.22489,0.524,94.3
0.11747,0.524,82.9
0.09378,0.524,39.0
0.62976,0.538,61.8
0.63796,0.538,84.5
0.62739,0.538,56.5
1.05393,0.538,29.3
0.7842,0.538,81.7
0.80271,0.538,36.6
0.7258,0.538,69.5
1.25179,0.538,98.1
0.85204,0.538,89.2
1.23247,0.538,91.7
0.98843,0.538,100.0
0.75026,0.538,94.1
0.84054,0.538,85.7
0.67191,0.538,90.3
0.95577,0.538,88.8
0.77299,0.538,94.4
1.00245,0.538,87.3
1.13081,0.538,94.1
1.35472,0.538,100.0
1.38799,0.538,82.0
1.15172,0.538,95.0
1.61282,0.538,96.9
0.06417,0.499,68.2
0.09744,0.499,61.4
0.08014,0.499,41.5
0.17505,0.499,30.2
0.02763,0.428,21.8
0.03359,0.428,15.8
0.12744,0.448,2.9
0.1415,0.448,6.6
0.15936,0.448,6.5
0.12269,0.448,40.0
0.17142,0.448,33.8
0.18836,0.448,33.3
0.22927,0.448,85.5
0.25387,0.448,95.3
0.21977,0.448,62.0
0.08873,0.439,45.7
0.04337,0.439,63.0
0.0536,0.439,21.1
,0.439,21.4
0.0136,0.41,47.6
0.01311,0.403,21.9
0.02055,0.41,35.7
0.01432,0.411,40.5
0.15445,0.453,29.2
0.10328,0.453,47.2
0.14932,0.453,66.2
0.17171,0.453,93.4
0.11027,0.453,67.8
0.1265,0.453,43.4
0.01951,0.4161,59.5
0.03584,0.398,17.8
0.04379,0.398,31.1
0.05789,0.409,21.4
0.13554,0.409,36.8
0.12816,0.409,33.0
0.08826,0.413,6.6
0.15876,0.413,17.5
0.09164,0.413,7.8
0.19539,0.413,6.2
0.07896,0.437,
0.09512,0.437,45.0
0.10153,0.437,74.5
0.08707,0.437,45.8
0.05646,0.437,53.7
0.08387,0.437,36.6
0.04113,0.426,33.5
0.04462,0.426,70.4
0.03659,0.426,32.2
0.03551,0.426,46.7
0.05059,0.449,48.0
0.05735,0.449,56.1
0.05188,0.449,45.1
0.07151,0.449,56.8
0.0566,0.489,86.3
0.05302,0.489,63.1
0.04684,0.489,66.1
0.03932,0.489,73.9
0.04203,0.464,53.6
0.02875,0.464,28.9
0.04294,0.464,77.3
0.12204,0.445,57.8
0.11504,0.445,69.6
0.12083,0.445,76.0
0.08187,0.445,36.9
0.0686,0.445,62.5
0.14866,0.52,79.9
0.11432,0.52,71.3
0.22876,0.52,85.4
0.21161,0.52,
0.1396,0.52,90.0
0.13262,0.52,96.7
0.1712,0.52,91.9
0.13117,0.52,85.2
0.12802,0.52,97.1
0.26363,0.52,91.2
0.10793,0.52,54.4
0.10084,0.547,81.6
0.12329,0.547,92.9
0.22212,0.547,95.4
0.14231,0.547,84.2
,0.547,88.2
0.13158,0.547,72.5
0.15098,0.547,82.6
0.13058,0.547,73.1
0.14476,0.547,65.2
0.06899,0.581,69.7
0.07165,0.581,84.1
0.09299,0.581,92.9
0.15038,0.581,97.0
0.09849,0.581,95.8
0.16902,0.581,88.4
0.38735,0.581,
0.25915,0.624,96.0
0.32543,0.624,98.8
0.88125,0.624,94.7
0.34006,0.624,98.9
1.19294,0.624,97.7
0.59005,0.624,97.9
0.32982,0.624,95.4
0.97617,0.624,98.4
0.55778,0.624,98.2
0.32264,0.624,93.5
0.35233,0.624,98.4
0.2498,0.624,
0.54452,0.624,97.9
0.2909,0.624,93.6
1.62864,0.624,100.0
3.32105,0.871,100.0
4.0974,0.871,100.0
2.77974,0.871,97.8
2.37934,0.871,100.0
2.15505,0.871,100.0
2.36862,0.871,95.7
2.33099,0.871,93.8
2.73397,0.871,94.9
1.6566,0.871,
1.49632,0.871,100.0
1.12658,0.871,88.0
2.14918,0.871,98.5
1.41385,0.871,96.0
3.53501,0.871,
2.44668,0.871,94.0
1.22358,0.605,97.4
1.34284,0.605,100.0
1.42502,0.871,100.0
1.27346,0.605,92.6
1.46336,0.605,90.8
1.83377,0.605,98.2
1.51902,0.605,
2.24236,0.605,91.8
2.924,0.605,93.0
2.01019,0.605,96.2
1.80028,0.605,79.2
2.3004,0.605,96.1
2.44953,0.605,95.2
1.20742,0.605,94.6
2.3139,0.605,97.3
0.13914,0.51,88.5
0.09178,0.51,
0.08447,0.51,68.7
0.06664,0.51,33.1
0.07022,0.51,47.2
0.05425,0.51,73.4
0.06642,0.51,74.4
0.0578,0.488,58.4
0.06588,0.488,83.3
