CRIM,NOX,AGE,MEDV
0.00632,0.538,65.2,24.0
0.02731,0.469,78.9,21.6
0.02729,0.469,61.1,34.7
0.03237,0.458,45.8,33.4
0.06905,0.458,54.2,36.2
0.02985,0.458,58.7,28.7
0.08829,0.524,66.6,22.9
0.14455,0.524,96.1,27.1
0.21124,0.524,100.0,16.5
0.17004,0.524,85.9,18.9
0.22489,0.524,94.3,15.0
0.11747,0.524,82.9,18.9
0.09378,0.524,39.0,21.7
0.62976,0.538,61.8,20.4
0.63796,0.538,84.5,18.2
0.62739,0.538,56.5,19.9
1.05393,0.538,29.3,23.1
0.7842,0.538,81.7,17.5
0.80271,0.538,36.6,20.2
0.7258,0.538,69.5,18.2
1.25179,0.538,98.1,13.6
0.85204,0.538,89.2,19.6
1.23247,0.538,91.7,15.2
0.98843,0.538,100.0,14.5
0.75026,0.538,94.1,15.6
0.84054,0.538,85.7,13.9
0.67191,0.538,90.3,16.6
0.95577,0.538,88.8,14.8
0.77299,0.538,94.4,18.4
1.00245,0.538,87.3,21.0
1.13081,0.538,94.1,12.7
1.35472,0.538,100.0,14.5
1.38799,0.538,82.0,13.2
1.15172,0.538,95.0,13.1
1.61282,0.538,96.9,13.5
0.06417,0.499,68.2,18.9
0.09744,0.499,61.4,20.0
0.08014,0.499,41.5,21.0
0.17505,0.499,30.2,24.7
0.02763,0.428,21.8,30.8
0.03359,0.428,15.8,34.9
0.12744,0.448,2.9,26.6
0.1415,0.448,6.6,25.3
0.15936,0.448,6.5,24.7
0.12269,0.448,40.0,21.2
0.17142,0.448,33.8,19.3
0.18836,0.448,33.3,20.0
0.22927,0.448,85.5,16.6
0.25387,0.448,95.3,14.4
0.21977,0.448,62.0,19.4
0.08873,0.439,45.7,19.7
0.04337,0.439,63.0,20.5
0.0536,0.439,21.1,25.0
,0.439,21.4,23.4
0.0136,0.41,47.6,18.9
0.01311,0.403,21.9,35.4
0.02055,0.41,35.7,24.7
0.01432,0.411,40.5,31.6
0.15445,0.453,29.2,23.3
0.10328,0.453,47.2,19.6
0.14932,0.453,66.2,18.7
0.17171,0.453,93.4,16.0
0.11027,0.453,67.8,22.2
0.1265,0.453,43.4,25.0
0.01951,0.4161,59.5,33.0
0.03584,0.398,17.8,23.5
0.04379,0.398,31.1,19.4
0.05789,0.409,21.4,22.0
0.13554,0.409,36.8,17.4
0.12816,0.409,33.0,20.9
0.08826,0.413,6.6,24.2
0.15876,0.413,17.5,21.7
0.09164,0.413,7.8,22.8
0.19539,0.413,6.2,23.4
0.07896,0.437,,24.1
0.09512,0.437,45.0,21.4
0.10153,0.437,74.5,20.0
0.08707,0.437,45.8,20.8
0.05646,0.437,53.7,21.2
0.08387,0.437,36.6,20.3
0.04113,0.426,33.5,28.0
0.04462,0.426,70.4,23.9
0.03659,0.426,32.2,24.8
0.03551,0.426,46.7,22.9
0.05059,0.449,48.0,23.9
0.05735,0.449,56.1,26.6
0.05188,0.449,45.1,22.5
0.07151,0.449,56.8,22.2
0.0566,0.489,86.3,23.6
0.05302,0.489,63.1,28.7
0.04684,0.489,66.1,22.6
0.03932,0.489,73.9,22.0
0.04203,0.464,53.6,22.9
0.02875,0.464,28.9,25.0
0.04294,0.464,77.3,20.6
0.12204,0.445,57.8,28.4
0.11504,0.445,69.6,21.4
0.12083,0.445,76.0,38.7
0.08187,0.445,36.9,43.8
0.0686,0.445,62.5,33.2
0.14866,0.52,79.9,27.5
0.11432,0.52,71.3,26.5
0.22876,0.52,85.4,18.6
0.21161,0.52,,19.3
0.1396,0.52,90.0,20.1
0.13262,0.52,96.7,19.5
0.1712,0.52,91.9,19.5
0.13117,0.52,85.2,20.4
0.12802,0.52,97.1,19.8
0.26363,0.52,91.2,19.4
0.10793,0.52,54.4,21.7
0.10084,0.547,81.6,22.8
0.12329,0.547,92.9,18.8
0.22212,0.547,95.4,18.7
0.14231,0.547,84.2,18.5
,0.547,88.2,18.3
0.13158,0.547,72.5,21.2
0.15098,0.547,82.6,19.2
0.13058,0.547,73.1,20.4
0.14476,0.547,65.2,19.3
0.06899,0.581,69.7,22.0
0.07165,0.581,84.1,20.3
0.09299,0.581,92.9,20.5
0.15038,0.581,97.0,17.3
0.09849,0.581,95.8,18.8
0.16902,0.581,88.4,21.4
0.38735,0.581,,15.7
0.25915,0.624,96.0,16.2
0.32543,0.624,98.8,18.0
0.88125,0.624,94.7,14.3
0.34006,0.624,98.9,19.2
1.19294,0.624,97.7,19.6
0.59005,0.624,97.9,23.0
0.32982,0.624,95.4,18.4
0.97617,0.624,98.4,15.6
0.55778,0.624,98.2,18.1
0.32264,0.624,93.5,17.4
0.35233,0.624,98.4,17.1
0.2498,0.624,,13.3
0.54452,0.624,97.9,17.8
0.2909,0.624,93.6,14.0
1.62864,0.624,100.0,14.4
3.32105,0.871,100.0,13.4
4.0974,0.871,100.0,15.6
2.77974,0.871,97.8,11.8
2.37934,0.871,100.0,13.8
2.15505,0.871,100.0,15.6
2.36862,0.871,95.7,14.6
2.33099,0.871,93.8,17.8
2.73397,0.871,94.9,15.4
1.6566,0.871,,21.5
1.49632,0.871,100.0,19.6
1.12658,0.871,88.0,15.3
2.14918,0.871,98.5,19.4
1.41385,0.871,96.0,17.0
3.53501,0.871,,15.6
2.44668,0.871,94.0,13.1
1.22358,0.605,97.4,41.3
1.34284,0.605,100.0,24.3
1.42502,0.871,100.0,23.3
1.27346,0.605,92.6,27.0
1.46336,0.605,90.8,50.0
1.83377,0.605,98.2,50.0
1.51902,0.605,,50.0
2.24236,0.605,91.8,22.7
2.924,0.605,93.0,25.0
2.01019,0.605,96.2,50.0
1.80028,0.605,79.2,23.8
2.3004,0.605,96.1,23.8
2.44953,0.605,95.2,22.3
1.20742,0.605,94.6,17.4
2.3139,0.605,97.3,19.1
0.13914,0.51,88.5,23.1
0.09178,0.51,,23.6
0.08447,0.51,68.7,22.6
0.06664,0.51,33.1,29.4
0.07022,0.51,47.2,23.2
0.05425,0.51,73.4,24.6
0.06642,0.51,74.4,29.9
0.0578,0.488,58.4,37.2
0.06588,0.488,83.3,39.8
0.06888,0.488,62.2,36.2
0.09103,0.488,92.2,37.9
,0.488,95.6,32.5
0.08308,0.488,89.8,26.4
0.06047,0.488,68.8,29.6
0.05602,0.488,53.6,50.0
0.07875,0.437,41.1,32.0
0.12579,0.437,29.1,29.8
0.0837,0.437,38.9,34.9
0.09068,0.437,21.5,37.0
,0.437,30.8,30.5
,0.437,26.3,36.4
0.02187,0.401,,31.1
0.01439,0.401,18.8,29.1
0.01381,0.422,32.0,50.0
,0.404,34.1,33.3
0.04666,0.404,36.6,30.3
0.03768,0.404,38.3,34.6
0.0315,0.403,15.3,34.9
0.01778,0.403,13.9,32.9
0.03445,0.415,38.4,24.1
0.02177,0.415,15.7,42.3
0.0351,0.4161,33.2,48.5
0.02009,0.4161,31.9,50.0
0.13642,0.489,22.3,22.6
0.22969,0.489,52.5,24.4
0.25199,0.489,72.7,22.5
0.13587,0.489,59.1,24.4
0.43571,0.489,100.0,20.0
0.17446,0.489,92.1,21.7
0.37578,0.489,88.6,19.3
0.21719,0.489,53.8,22.4
0.14052,0.489,32.3,28.1
0.28955,0.489,9.8,23.7
0.19802,0.489,,25.0
0.0456,0.55,56.0,23.3
0.07013,0.55,85.1,28.7
0.11069,0.55,93.8,21.5
0.11425,0.55,92.4,23.0
0.35809,0.507,88.5,26.7
0.40771,0.507,91.3,21.7
0.62356,0.507,77.7,27.5
0.6147,0.507,80.8,30.1
0.31533,0.504,78.3,44.8
0.52693,0.504,83.0,50.0
0.38214,0.504,86.5,37.6
0.41238,0.504,79.9,31.6
0.29819,0.504,17.0,46.7
,0.504,21.4,31.5
0.537,0.504,68.1,24.3
0.46296,0.504,76.9,31.7
0.57529,0.507,73.3,41.7
0.33147,0.507,,48.3
0.44791,0.507,66.5,29.0
0.33045,0.507,61.5,24.0
,0.507,76.5,25.1
0.51183,0.507,71.6,31.5
0.08244,0.428,18.5,23.7
0.09252,0.428,42.2,23.3
0.11329,0.428,54.3,22.0
,0.428,65.1,20.1
0.1029,0.428,52.9,22.2
0.12757,0.428,7.8,23.7
0.20608,0.431,76.5,17.6
0.19133,0.431,70.2,18.5
0.33983,0.431,34.9,24.3
0.19657,0.431,79.2,20.5
0.16439,0.431,49.1,24.5
0.19073,0.431,17.5,26.2
0.1403,0.431,13.0,24.4
0.21409,0.431,8.9,24.8
0.08221,0.431,6.8,29.6
0.36894,0.431,8.4,42.8
0.04819,0.392,32.0,21.9
0.03548,0.392,19.1,20.9
0.01538,0.394,34.2,44.0
0.61154,0.647,86.9,50.0
0.66351,0.647,100.0,36.0
0.65665,0.647,100.0,30.1
0.54011,0.647,81.8,33.8
0.53412,0.647,89.4,43.1
,0.647,91.5,48.8
0.82526,0.647,94.5,31.0
0.55007,0.647,91.6,36.5
0.76162,0.647,62.8,22.8
0.7857,0.647,84.6,30.7
0.57834,0.575,67.0,50.0
0.5405,0.575,52.6,43.5
0.09065,0.464,61.5,20.7
0.29916,0.464,42.1,21.1
0.16211,0.464,16.3,25.2
0.1146,0.464,58.7,24.4
0.22188,0.464,51.8,35.2
0.05644,0.447,32.9,32.4
0.09604,0.447,42.8,32.0
0.10469,0.447,49.0,33.2
0.06127,0.447,27.6,33.1
0.07978,0.447,32.1,29.1
0.21038,0.4429,32.2,35.1
0.03578,0.4429,64.5,45.4
0.03705,0.4429,,35.4
0.06129,0.4429,49.7,46.0
0.01501,0.401,24.8,50.0
0.00906,0.4,20.8,32.2
0.01096,0.389,31.9,22.0
0.01965,0.385,,20.1
0.03871,0.405,31.3,23.2
,0.405,45.6,22.3
0.04297,0.405,22.9,24.8
0.03502,0.411,27.9,28.5
0.07886,0.411,27.7,37.3
0.03615,0.411,23.4,27.9
0.08265,0.437,18.4,23.9
0.08199,0.437,42.3,21.7
0.12932,0.437,31.1,28.6
0.05372,0.437,51.0,27.1
0.14103,0.437,58.0,20.3
0.06466,0.4,20.1,22.5
0.05561,0.4,10.0,29.0
0.04417,0.4,47.4,24.8
0.03537,0.433,40.4,22.0
,0.433,18.4,26.4
0.1,0.433,17.7,33.1
0.05515,0.472,41.1,36.1
0.05479,0.472,58.1,28.4
0.07503,0.472,71.9,33.4
0.04932,0.472,70.3,28.2
0.49298,0.544,82.5,22.8
0.3494,0.544,76.7,20.3
2.63548,0.544,37.8,16.1
0.79041,0.544,52.8,22.1
0.26169,0.544,90.4,19.4
0.26938,0.544,82.8,21.6
0.3692,0.544,87.3,23.8
0.25356,0.544,77.7,16.2
0.31827,0.544,,17.8
0.24522,0.544,71.7,19.8
0.40202,0.544,67.2,23.1
0.47547,0.544,58.8,21.0
0.1676,0.493,52.3,23.8
0.18159,0.493,54.3,23.1
0.35114,0.493,49.9,20.4
0.28392,0.493,74.3,18.5
0.34109,0.493,40.1,25.0
0.19186,0.493,14.7,24.6
0.30347,0.493,28.9,23.0
0.24103,0.493,43.7,22.2
0.06617,0.46,25.8,19.3
0.06724,0.46,17.2,22.6
0.04544,0.46,32.2,19.8
